iso3,name,region,income_group,overall_centrality,nn_centrality,n_centrality,ed_centrality,ing_centrality,n_partners,n_agreements,avg_enforceable,max_enforceable,overall_rank,nn_rank,n_rank,ed_rank,ing_rank
HKG,HKG,EAP,Developed,0.01383778353958654,0.010752628000620622,0.011961692782192288,0.013830689010718994,0.006791413166164496,20,8,164.375,288,130,115,131,122,157
ETH,Ethiopia,SSA,Developing,0.01290015316533407,0.006148259572121298,0.09662225104241724,0.0003135318538197187,0.05748395305442052,51,4,160.0,164,131,138,40,160,83
KEN,Kenya,SSA,Developing,0.012900153165334065,0.004806209044451136,0.0900730152157086,0.0003135318538197187,0.05748395305442055,51,7,113.0,164,132,148,50,160,80
ZMB,Zambia,SSA,Developing,0.012900153165334065,0.003916596630933862,0.08831913464318909,0.0003135318538197187,0.05748395305442055,51,6,134.83333333333334,164,132,155,55,160,80
COD,COD,SSA,Developing,0.012900153165334065,0.004729563788104189,0.110087156422421,0.0003135318538197187,0.05748395305442052,51,5,145.8,164,132,149,24,160,83
MWI,MWI,SSA,Developing,0.012900153165334062,0.003983662280337134,0.07852919891437966,0.0003135318538197187,0.057483953054420535,51,6,134.83333333333334,164,135,153,72,160,82
RWA,RWA,SSA,Developing,0.012900153165334062,0.004863906835143546,0.09613284020500529,0.0003135318538197187,0.05748395305442056,51,6,131.83333333333334,164,135,147,41,160,78
BDI,BDI,SSA,Developing,0.012900153165334058,0.0038862296809010384,0.09280641057276244,0.0003135318538197187,0.05748395305442051,51,6,131.83333333333334,164,137,156,45,160,85
UGA,UGA,SSA,Developing,0.012900153165334058,0.0049722112465176715,0.09935564639947105,0.0003135318538197187,0.05748395305442051,51,6,131.83333333333334,164,137,146,36,160,85
AGO,AGO,SSA,Developing,0.012900153165334056,0.004305265620244788,0.10400949528175073,0.0003135318538197187,0.05748395305442051,51,3,137.66666666666666,164,139,150,26,160,85
BFA,BFA,SSA,Developing,0.01288188904216027,0.0058035726676656345,0.09692906767882346,0.0003135318538197187,0.05736351927771289,52,3,109.33333333333333,164,140,142,39,160,91
NER,NER,SSA,Developing,0.012881889042160265,0.005744083891486083,0.0990795046815843,0.0003135318538197187,0.0573635192777129,52,3,109.33333333333333,164,141,144,37,160,89
MLI,MLI,SSA,Developing,0.012881889042160264,0.005957355940428753,0.09196807494107441,0.0003135318538197187,0.05736351927771287,52,3,109.33333333333333,164,142,140,46,160,96
GNB,GNB,SSA,Developing,0.012881889042160264,0.0061961704578802745,0.07284772811561042,0.0003135318538197187,0.0573635192777129,52,2,133.5,164,142,137,78,160,89
SLE,SLE,SSA,Developing,0.012881889042160264,0.006604200563980509,0.08571652699839084,0.0003135318538197187,0.057363519277712875,52,2,133.5,164,142,127,62,160,93
SEN,SEN,SSA,Developing,0.01288188904216026,0.006275966439640429,0.06514218199512925,0.0003135318538197187,0.057363519277712875,52,3,109.33333333333333,164,145,134,90,160,93
CPV,CPV,SSA,Developing,0.01288188904216026,0.006342164369149335,0.06514218199512929,0.0003135318538197187,0.05736351927771292,52,2,133.5,164,145,132,89,160,88
TGO,TGO,SSA,Developing,0.01288188904216026,0.007304412177147858,0.10115223917661026,0.0003135318538197187,0.05736351927771289,52,3,109.33333333333333,164,145,123,33,160,91
LBR,LBR,SSA,Developing,0.012881889042160257,0.006604200563980509,0.09328797381956956,0.0003135318538197187,0.057363519277712875,52,2,133.5,164,148,127,43,160,93
GAB,GAB,SSA,Developing,0.012853081903679337,0.006892973869872962,0.12218222172513445,0.0003135318538197187,0.057173778697185824,50,2,109.5,164,149,125,17,160,99
TCD,TCD,SSA,Developing,0.012853081903679337,0.006397780278239805,0.12223801709310321,0.0003135318538197187,0.057173778697185824,50,2,109.5,164,149,130,15,160,99
GNQ,GNQ,SSA,Developing,0.012853081903679335,0.007431504582981162,0.12218222172513446,0.0003135318538197187,0.05717377869718584,50,2,109.5,164,151,122,16,160,97
COG,COG,SSA,Developing,0.012853081903679333,0.006211598837662469,0.12412725988822411,0.0003135318538197187,0.057173778697185824,50,2,109.5,164,152,136,13,160,99
SOM,SOM,SSA,Developing,0.012853081903679333,0.0051108145891209655,0.08084841673065722,0.0003135318538197187,0.05717377869718581,50,1,164.0,164,152,145,69,160,104
