iso1,iso2,WBID,agreement,entry_year
ARE,KWT,282,Gulf Cooperation Council (GCC),2003.0
ARE,LBN,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,LBY,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,LIE,320,EFTA - Gulf Cooperation Council (GCC),2014.0
ARE,MAR,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,MAR,328,Morocco - United Arab Emirates,2003.0
ARE,NOR,320,EFTA - Gulf Cooperation Council (GCC),2014.0
ARE,OMN,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,OMN,282,Gulf Cooperation Council (GCC),2003.0
ARE,QAT,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,QAT,282,Gulf Cooperation Council (GCC),2003.0
ARE,SAU,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,SAU,282,Gulf Cooperation Council (GCC),2003.0
ARE,SDN,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,SGP,263,Gulf Cooperation Council (GCC) - Singapore,2013.0
ARE,SYR,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,TUN,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,YEM,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARG,BEN,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,BGD,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,BOL,15,Latin American Integration Association (LAIA),1981.0
ARG,BOL,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,BRA,15,Latin American Integration Association (LAIA),1981.0
ARG,BRA,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,BRA,21,Southern Common Market (MERCOSUR),1991.0
ARG,BWA,333,Southern Common Market (MERCOSUR) - Southern African Customs Union (SACU),2016.0
ARG,CHL,15,Latin American Integration Association (LAIA),1981.0
ARG,CHL,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,CMR,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,COL,15,Latin American Integration Association (LAIA),1981.0
ARG,COL,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,CUB,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,CUB,348,Latin American Integration Association (LAIA) - Accession of Cuba,1999.0
ARG,CUB,15,Latin American Integration Association (LAIA),1981.0
ARG,DZA,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,ECU,15,Latin American Integration Association (LAIA),1981.0
ARG,ECU,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,EGY,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,EGY,331,Southern Common Market (MERCOSUR) - Egypt,2017.0
ARG,GHA,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,GIN,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,GUY,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,IDN,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,IND,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,IND,177,Southern Common Market (MERCOSUR) - India,2009.0
ARG,IRN,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,IRQ,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,ISR,323,Southern Common Market (MERCOSUR) - Israel,2009.0
ARG,KOR,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,LBY,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,LKA,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,LSO,333,Southern Common Market (MERCOSUR) - Southern African Customs Union (SACU),2016.0
ARG,MAR,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,MEX,15,Latin American Integration Association (LAIA),1981.0
ARG,MEX,304,Argentina - Mexico ,1987.0
ARG,MEX,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,MMR,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,MOZ,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,MYS,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,NAM,333,Southern Common Market (MERCOSUR) - Southern African Customs Union (SACU),2016.0
ARG,NGA,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,NIC,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,PAK,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,PER,15,Latin American Integration Association (LAIA),1981.0
ARG,PER,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,PHL,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,PRK,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,PRY,15,Latin American Integration Association (LAIA),1981.0
ARG,PRY,21,Southern Common Market (MERCOSUR),1991.0
ARG,SDN,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,SGP,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,SWZ,333,Southern Common Market (MERCOSUR) - Southern African Customs Union (SACU),2016.0
ARG,THA,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,TTO,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,TUN,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,TZA,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,URY,15,Latin American Integration Association (LAIA),1981.0
ARG,URY,21,Southern Common Market (MERCOSUR),1991.0
ARG,VEN,15,Latin American Integration Association (LAIA),1981.0
ARG,VEN,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,VNM,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARG,ZAF,333,Southern Common Market (MERCOSUR) - Southern African Customs Union (SACU),2016.0
ARG,ZWE,19,Global System of Trade Preferences among Developing Countries (GSTP),1989.0
ARM,AUT,338,EU - Armenia,
ARM,BEL,338,EU - Armenia,
ARM,BGR,338,EU - Armenia,
ARM,BLR,240,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),2012.0
ARM,BLR,257,Eurasian Economic Union (EAEU) - Accession of Armenia,2015.0
ARM,BLR,255,Eurasian Economic Union (EAEU) ,2015.0
ARM,CYP,338,EU - Armenia,
ARM,CZE,338,EU - Armenia,
ARM,DEU,338,EU - Armenia,
ARM,DNK,338,EU - Armenia,
ARM,ESP,338,EU - Armenia,
ARM,EST,338,EU - Armenia,
ARM,FIN,338,EU - Armenia,
ARM,FRA,338,EU - Armenia,
ARM,GEO,60,Georgia - Armenia ,1998.0
ARM,GRC,338,EU - Armenia,
ARM,HRV,338,EU - Armenia,
ARM,HUN,338,EU - Armenia,
ARM,IRL,338,EU - Armenia,
ARM,IRN,308,Eurasian Economic Union (EAEU) - Iran,2019.0
ARM,ITA,338,EU - Armenia,
ARM,KAZ,93,Armenia - Kazakhstan,2001.0
ARM,KAZ,240,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),2012.0
ARM,KAZ,257,Eurasian Economic Union (EAEU) - Accession of Armenia,2015.0
ARM,KAZ,255,Eurasian Economic Union (EAEU) ,2015.0
ARM,KGZ,58,Kyrgyz Republic - Armenia,1995.0
ARM,KGZ,240,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),2012.0
ARM,KGZ,255,Eurasian Economic Union (EAEU) ,2015.0
ARM,KGZ,264,Eurasian Economic Union (EAEU) - Accession of the Kyrgyz Republic,2015.0
ARM,LTU,338,EU - Armenia,
ARM,LUX,338,EU - Armenia,
ARM,LVA,338,EU - Armenia,
ARM,MDA,92,"Armenia - Moldova, Republic of",1995.0
ARM,MDA,240,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),2012.0
ARM,MLT,338,EU - Armenia,
ARM,NLD,338,EU - Armenia,
ARM,POL,338,EU - Armenia,
ARM,PRT,338,EU - Armenia,
ARM,ROU,338,EU - Armenia,
ARM,RUS,240,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),2012.0
ARM,RUS,255,Eurasian Economic Union (EAEU) ,2015.0
ARM,RUS,257,Eurasian Economic Union (EAEU) - Accession of Armenia,2015.0
ARM,SRB,311,Eurasian Economic Union (EAEU) - Serbia,2021.0
ARM,SVK,338,EU - Armenia,
ARM,SVN,338,EU - Armenia,
ARM,SWE,338,EU - Armenia,
ARM,TJK,240,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),2012.0
ARM,TKM,91,Armenia - Turkmenistan,1996.0
ARM,UKR,94,Armenia - Ukraine,1996.0
ARM,UKR,240,Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),2012.0
ARM,VNM,297,Eurasian Economic Union (EAEU) - Viet Nam,2016.0
ATG,AUT,154,EU - CARIFORUM States,2008.0
ATG,BEL,154,EU - CARIFORUM States,2008.0
ATG,BGR,154,EU - CARIFORUM States,2008.0
ATG,BHS,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,BLZ,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,BRB,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,CYP,154,EU - CARIFORUM States,2008.0
ATG,CZE,154,EU - CARIFORUM States,2008.0
ATG,DEU,154,EU - CARIFORUM States,2008.0
ATG,DMA,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,DNK,154,EU - CARIFORUM States,2008.0
ATG,ESP,154,EU - CARIFORUM States,2008.0
ATG,EST,154,EU - CARIFORUM States,2008.0
ATG,FIN,154,EU - CARIFORUM States,2008.0
ATG,FRA,154,EU - CARIFORUM States,2008.0
ATG,GBR,355,United Kingdom - CARIFORUM States,2021.0
ATG,GRC,154,EU - CARIFORUM States,2008.0
ATG,GRD,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,GUY,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,HRV,154,EU - CARIFORUM States,2008.0
ATG,HTI,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,HUN,154,EU - CARIFORUM States,2008.0
ATG,IRL,154,EU - CARIFORUM States,2008.0
ATG,ITA,154,EU - CARIFORUM States,2008.0
ATG,JAM,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,KNA,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,LCA,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,LTU,154,EU - CARIFORUM States,2008.0
ATG,LUX,154,EU - CARIFORUM States,2008.0
ATG,LVA,154,EU - CARIFORUM States,2008.0
ATG,MLT,154,EU - CARIFORUM States,2008.0
ATG,MSR,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,NLD,154,EU - CARIFORUM States,2008.0
ATG,POL,154,EU - CARIFORUM States,2008.0
ATG,PRT,154,EU - CARIFORUM States,2008.0
ATG,ROU,154,EU - CARIFORUM States,2008.0
ATG,SUR,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,SVK,154,EU - CARIFORUM States,2008.0
ATG,SVN,154,EU - CARIFORUM States,2008.0
ATG,SWE,154,EU - CARIFORUM States,2008.0
ATG,TTO,9,Caribbean Community and Common Market (CARICOM),1973.0
ATG,VCT,9,Caribbean Community and Common Market (CARICOM),1973.0
AUS,BRN,183,ASEAN - Australia - New Zealand,2010.0
AUS,BRN,281,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),2018.0
AUS,BRN,395,RCEP (Regional Comprehensive Economic Partnership) Agreement,2022.0
AUS,CAN,281,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),2018.0
AUS,CHL,163,Australia - Chile,2009.0
AUS,CHL,281,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),2018.0
AUS,CHN,268,Australia - China,2015.0
AUS,CHN,395,RCEP (Regional Comprehensive Economic Partnership) Agreement,2022.0
AUS,COK,14,South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),1981.0
AUS,COK,329,Pacific Agreement on Closer Economic Relations Plus (PACER Plus) ,2020.0
AUS,FJI,14,South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),1981.0
AUS,FSM,14,South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),1981.0
AUS,GBR,399,United Kingdom - Australia,2023.0
AUS,HKG,296,"Hong Kong, China - Australia",2020.0
AUS,IDN,183,ASEAN - Australia - New Zealand,2010.0
AUS,IDN,324,Indonesia - Australia,2020.0
AUS,IDN,395,RCEP (Regional Comprehensive Economic Partnership) Agreement,2022.0
AUS,IND,398,India - Australia,2022.0
AUS,JPN,259,Japan - Australia ,2015.0
AUS,JPN,281,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),2018.0
AUS,JPN,395,RCEP (Regional Comprehensive Economic Partnership) Agreement,2022.0
AUS,KHM,183,ASEAN - Australia - New Zealand,2010.0
AUS,KHM,395,RCEP (Regional Comprehensive Economic Partnership) Agreement,2022.0
AUS,KIR,14,South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),1981.0
AUS,KIR,329,Pacific Agreement on Closer Economic Relations Plus (PACER Plus) ,2020.0
AUS,KOR,256,"Korea, Republic of - Australia",2014.0
AUS,KOR,395,RCEP (Regional Comprehensive Economic Partnership) Agreement,2022.0
AUS,LAO,183,ASEAN - Australia - New Zealand,2010.0
AUS,LAO,395,RCEP (Regional Comprehensive Economic Partnership) Agreement,2022.0
AUS,MEX,281,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),2018.0
AUS,MHL,14,South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),1981.0
AUS,MMR,183,ASEAN - Australia - New Zealand,2010.0
AUS,MMR,395,RCEP (Regional Comprehensive Economic Partnership) Agreement,2022.0
AUS,MYS,183,ASEAN - Australia - New Zealand,2010.0
AUS,MYS,237,Malaysia - Australia,2013.0
AUS,MYS,281,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),2018.0
AUS,MYS,395,RCEP (Regional Comprehensive Economic Partnership) Agreement,2022.0
AUS,NIU,14,South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),1981.0
AUS,NIU,329,Pacific Agreement on Closer Economic Relations Plus (PACER Plus) ,2020.0
AUS,NRU,14,South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),1981.0
AUS,NRU,329,Pacific Agreement on Closer Economic Relations Plus (PACER Plus) ,2020.0
AUS,PER,349,Peru - Australia,2020.0
